City,Province,Year,Make,Model,Price,Mileage,URL
Longueuil,QC,2012,Honda,civic,10000,162000,facebook.com/marketplace/item/609480147848617/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2008,Honda,civic,6300,152000,facebook.com/marketplace/item/800224815036033/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2011,Honda,civic,7500,170000,facebook.com/marketplace/item/988259062182285/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2015,Honda,civic,19000,86000,facebook.com/marketplace/item/1357881301458595/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Longueuil,QC,2012,Honda,civic,9450,179000,facebook.com/marketplace/item/1209978419715789/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2015,Honda,civic,14495,148000,facebook.com/marketplace/item/1280989409189047/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2015,Honda,civic,14995,148000,facebook.com/marketplace/item/525465512983320/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2012,Honda,civic,8900,167000,facebook.com/marketplace/item/270527548771036/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2006,Honda,civic,4900,180000,facebook.com/marketplace/item/1228410657832037/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Dollard-des Ormeaux,QC,2014,Honda,civic,16000,90000,facebook.com/marketplace/item/627914399393608/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2015,Honda,civic,14500,141000,facebook.com/marketplace/item/6472697949454534/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Longueuil,QC,2013,Honda,civic,9990,188000,facebook.com/marketplace/item/1247836055865080/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mirabel,QC,2017,Honda,civic,18500,129000,facebook.com/marketplace/item/962361811632569/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2011,Honda,civic,6299,160000,facebook.com/marketplace/item/3592297374380128/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
